id,payment_bth,supplied_fraction,fee_bth,fee_payment_ratio,total_spend_bth,minimum_payment_at_supplied_fraction_bth,within_supplied_fraction
small-p1-u0.01-d30,100,0.001,0.0073382988888888888888888888888888888888888888888889,0.00007338298888888888888888888889,100.0073382988888888888888889,7.338298888888888888888888889,True
small-p1-u0.01-d30,100,0.01,0.0073382988888888888888888888888888888888888888888889,0.00007338298888888888888888888889,100.0073382988888888888888889,0.7338298888888888888888888889,True
small-p1-u0.01-d30,100,0.1,0.0073382988888888888888888888888888888888888888888889,0.00007338298888888888888888888889,100.0073382988888888888888889,0.07338298888888888888888888889,True
small-p1-u0.01-d365,0.01,0.001,0.0073624188888888888888888888888888888888888888888889,0.7362418888888888888888888889,0.01736241888888888888888888889,7.362418888888888888888888889,False
small-p1-u0.01-d365,0.01,0.01,0.0073624188888888888888888888888888888888888888888889,0.7362418888888888888888888889,0.01736241888888888888888888889,0.7362418888888888888888888889,False
small-p1-u0.01-d365,0.01,0.1,0.0073624188888888888888888888888888888888888888888889,0.7362418888888888888888888889,0.01736241888888888888888888889,0.07362418888888888888888888889,False
small-p1-u0.01-d365,1,0.001,0.0073624188888888888888888888888888888888888888888889,0.007362418888888888888888888889,1.007362418888888888888888889,7.362418888888888888888888889,False
small-p1-u0.01-d365,1,0.01,0.0073624188888888888888888888888888888888888888888889,0.007362418888888888888888888889,1.007362418888888888888888889,0.7362418888888888888888888889,True
small-p1-u0.01-d365,1,0.1,0.0073624188888888888888888888888888888888888888888889,0.007362418888888888888888888889,1.007362418888888888888888889,0.07362418888888888888888888889,True
small-p1-u0.01-d365,100,0.001,0.0073624188888888888888888888888888888888888888888889,0.00007362418888888888888888888889,100.0073624188888888888888889,7.362418888888888888888888889,True
small-p1-u0.01-d365,100,0.01,0.0073624188888888888888888888888888888888888888888889,0.00007362418888888888888888888889,100.0073624188888888888888889,0.7362418888888888888888888889,True
small-p1-u0.01-d365,100,0.1,0.0073624188888888888888888888888888888888888888888889,0.00007362418888888888888888888889,100.0073624188888888888888889,0.07362418888888888888888888889,True
small-p1-u0.1-d30,0.01,0.001,0.00075579888888888888888888888888888888888888888888889,0.07557988888888888888888888889,0.01075579888888888888888888889,0.7557988888888888888888888889,False
small-p1-u0.1-d30,0.01,0.01,0.00075579888888888888888888888888888888888888888888889,0.07557988888888888888888888889,0.01075579888888888888888888889,0.07557988888888888888888888889,False
small-p1-u0.1-d30,0.01,0.1,0.00075579888888888888888888888888888888888888888888889,0.07557988888888888888888888889,0.01075579888888888888888888889,0.007557988888888888888888888889,True
small-p1-u0.1-d30,1,0.001,0.00075579888888888888888888888888888888888888888888889,0.0007557988888888888888888888889,1.000755798888888888888888889,0.7557988888888888888888888889,True
small-p1-u0.1-d30,1,0.01,0.00075579888888888888888888888888888888888888888888889,0.0007557988888888888888888888889,1.000755798888888888888888889,0.07557988888888888888888888889,True
small-p1-u0.1-d30,1,0.1,0.00075579888888888888888888888888888888888888888888889,0.0007557988888888888888888888889,1.000755798888888888888888889,0.007557988888888888888888888889,True
small-p1-u0.1-d30,100,0.001,0.00075579888888888888888888888888888888888888888888889,0.000007557988888888888888888888889,100.0007557988888888888888889,0.7557988888888888888888888889,True
small-p1-u0.1-d30,100,0.01,0.00075579888888888888888888888888888888888888888888889,0.000007557988888888888888888888889,100.0007557988888888888888889,0.07557988888888888888888888889,True
small-p1-u0.1-d30,100,0.1,0.00075579888888888888888888888888888888888888888888889,0.000007557988888888888888888888889,100.0007557988888888888888889,0.007557988888888888888888888889,True
small-p1-u0.1-d365,0.01,0.001,0.00077991888888888888888888888888888888888888888888889,0.07799188888888888888888888889,0.01077991888888888888888888889,0.7799188888888888888888888889,False
small-p1-u0.1-d365,0.01,0.01,0.00077991888888888888888888888888888888888888888888889,0.07799188888888888888888888889,0.01077991888888888888888888889,0.07799188888888888888888888889,False
small-p1-u0.1-d365,0.01,0.1,0.00077991888888888888888888888888888888888888888888889,0.07799188888888888888888888889,0.01077991888888888888888888889,0.007799188888888888888888888889,True
